pais,quantidade_casos
Canada,64.0
China,2.0
Australia,0.5
Slovenia,0.06887052
Czech Republic,0.0656168
Croatia,0.0569395
Jordan,0.054272518
Luxembourg,0.05263158
Latvia,0.04054054
Bulgaria,0.039291218
Hungary,0.038482685
Cyprus,0.03846154
Switzerland,0.033533964
Malta,0.03125
Austria,0.025663717
Bosnia and Herzegovina,0.025641026
Nepal,0.025
Tunisia,0.024480712
Lithuania,0.024096385
Montenegro,0.022364218
Macedonia, Republic of,0.020916335
Georgia,0.020895522
Armenia,0.02054292
Myanmar,0.0190779
Portugal,0.018081762
Uganda,0.017857144
Azerbaijan,0.017567568
Kazakhstan,0.017534247
Albania,0.017374517
Morocco,0.017012227
Uruguay,0.016949153
Poland,0.015908698
Guyana,0.015873017
Argentina,0.015510597
Germany,0.014838771
Republic of Kosovo,0.0147492625
Lebanon,0.01399689
Bahamas,0.013888889
Kenya,0.013820335
Costa Rica,0.013718411
Iran, Islamic Republic of,0.012465295
Romania,0.012169237
Greece,0.011023622
Mozambique,0.010752688
Spain,0.010563577
Angola,0.01048951
Libya,0.01033295
Belgium,0.010309278
Syrian Arab Republic (Syria),0.0102739725
Israel,0.010180109
Moldova,0.01
Kyrgyzstan,0.009615385
Jamaica,0.009615385
Ukraine,0.009181636
Korea (South),0.008547009
Russian Federation,0.008492114
Serbia,0.008474576
Zimbabwe,0.008230452
Palestinian Territory,0.008179959
Malaysia,0.008032128
Oman,0.0080256825
Cuba,0.0078125
Paraguay,0.007757405
Ethiopia,0.0074424897
Turkey,0.007360062
Indonesia,0.007243778
Venezuela (Bolivarian Republic),0.0062421975
Japan,0.0061936937
Italy,0.0060011335
Panama,0.0051736883
Kuwait,0.0051150895
Honduras,0.004859813
Iraq,0.0046507386
Colombia,0.0043788673
Philippines,0.004282951
Bangladesh,0.004208046
El Salvador,0.004085802
Belarus,0.004060914
India,0.003996509
Chile,0.0038604618
Algeria,0.0035478966
Afghanistan,0.0032552083
Saudi Arabia,0.0031365314
Bahrain,0.0031152647
Finland,0.002793296
South Africa,0.0027819278
Mexico,0.002230807
Egypt,0.002070723
Pakistan,0.002048281
United Arab Emirates,0.002016129
Uzbekistan,0.001754386
Yemen,0.0016666667
Sweden,0.0011705685
Bolivia,0.0011453442
Brazil,0.0011182328
Ireland,0.0010443864
Nigeria,8.7260036E-4
Ecuador,6.3071586E-4
Dominican Republic,4.4464206E-4
Gambia,0.0
Guinea,0.0
Botswana,0.0
San Marino,0.0
Andorra,0.0
Malawi,0.0
Tanzania, United Republic of,0.0
Estonia,0.0
Madagascar,0.0
Mauritius,0.0
Cape Verde,0.0
Mali,0.0
Nicaragua,0.0
Equatorial Guinea,0.0
Western Sahara,0.0
Guinea-Bissau,0.0
Mauritania,0.0
Cameroon,0.0
South Sudan,0.0
Monaco,0.0
Taiwan, Republic of China,0.0
Sudan,0.0
Benin,0.0
Chad,0.0
Liberia,0.0
Djibouti,0.0
Rwanda,0.0
Tajikistan,0.0
Fiji,0.0
Burkina Faso,0.0
Singapore,0.0
Côte d'Ivoire,0.0
Norway,0.0
Gabon,0.0
Niger,0.0
Guatemala,0.0
Ghana,0.0
Somalia,0.0
Togo,0.0
Liechtenstein,0.0
Thailand,0.0
Swaziland,0.0
Viet Nam,0.0
Burundi,0.0
Slovakia,0.0
Congo (Kinshasa),0.0
Sao Tome and Principe,0.0
Congo (Brazzaville),0.0
Senegal,0.0
Zambia,0.0
Comoros,0.0
Namibia,0.0
Brunei Darussalam,0.0
Maldives,0.0
Lesotho,0.0
Suriname,0.0
Central African Republic,0.0
Peru,0.0
New Zealand,0.0
Trinidad and Tobago,0.0
Sierra Leone,0.0
Sri Lanka,0.0
Belize,0.0
Haiti,0.0
Iceland,0.0
Papua New Guinea,0.0
Qatar,0.0
Antigua and Barbuda,0.0
Barbados,0.0
Netherlands,-0.95454544
Saint Kitts and Nevis,-1.0
Marshall Islands,-1.0
Saint Vincent and Grenadines,-1.0
Seychelles,-1.0
Solomon Islands,-1.0
Macao, SAR China,-1.0
Cambodia,-1.0
Mongolia,-1.0
Bhutan,-1.0
Dominica,-1.0
France,-1.0
Grenada,-1.0
Lao PDR,-1.0
Eritrea,-1.0
Holy See (Vatican City State),-1.0
Timor-Leste,-1.0
Denmark,-1.0
United Kingdom,-1.0
Saint Lucia,-1.0
