pais,quantidade_casos
Brazil,152136.0
India,120914.0
Mexico,89388.0
Peru,33032.0
Colombia,31137.0
Argentina,30876.0
Iran, Islamic Republic of,28958.0
Russian Federation,26575.0
South Africa,19263.0
Chile,13972.0
Indonesia,13071.0
Ecuador,11115.0
Iraq,10864.0
Spain,10265.0
Italy,9511.0
Bolivia,8645.0
Ukraine,7199.0
Turkey,6806.0
Philippines,6601.0
Pakistan,6271.0
Romania,6226.0
Egypt,5826.0
Bangladesh,5758.0
Saudi Arabia,5220.0
Poland,5067.0
Belgium,3721.0
Guatemala,3719.0
Morocco,3581.0
Germany,3520.0
Czech Republic,3172.0
Sweden,2649.0
Honduras,2582.0
Panama,2496.0
Israel,2316.0
Dominican Republic,1895.0
Kazakhstan,1796.0
Moldova,1664.0
Algeria,1503.0
Ethiopia,1474.0
Portugal,1470.0
Hungary,1456.0
Afghanistan,1441.0
Paraguay,1408.0
Costa Rica,1379.0
Armenia,1323.0
Tunisia,1305.0
Myanmar,1252.0
Oman,1233.0
Bulgaria,1218.0
Japan,1183.0
Bosnia and Herzegovina,1169.0
Kyrgyzstan,1133.0
Nigeria,1048.0
Kenya,989.0
El Salvador,965.0
Nepal,960.0
Macedonia, Republic of,918.0
Belarus,878.0
Libya,868.0
Jordan,857.0
Sudan,792.0
Venezuela (Bolivarian Republic),791.0
Kuwait,742.0
Azerbaijan,714.0
Republic of Kosovo,652.0
Serbia,626.0
Lebanon,618.0
Yemen,596.0
Ireland,576.0
Uzbekistan,560.0
Switzerland,531.0
Austria,524.0
Greece,489.0
Albania,487.0
Palestinian Territory,487.0
Croatia,479.0
Cameroon,365.0
United Arab Emirates,350.0
Zambia,346.0
Georgia,326.0
Senegal,314.0
Bahrain,313.0
Montenegro,305.0
Ghana,302.0
Syrian Arab Republic (Syria),289.0
Angola,284.0
Congo (Kinshasa),274.0
Slovenia,265.0
Madagascar,244.0
Zimbabwe,239.0
Haiti,220.0
Qatar,220.0
Korea (South),213.0
Jamaica,199.0
Slovakia,194.0
Malawi,181.0
Mauritania,162.0
Nicaragua,151.0
Malaysia,143.0
Bahamas,133.0
Namibia,133.0
Lithuania,120.0
Gambia,118.0
Swaziland,116.0
Guyana,116.0
Finland,112.0
Uganda,112.0
Suriname,110.0
Côte d'Ivoire,108.0
Mali,104.0
Trinidad and Tobago,101.0
Cape Verde,93.0
Mozambique,93.0
Congo (Brazzaville),82.0
Chad,81.0
Equatorial Guinea,80.0
Tajikistan,77.0
Norway,67.0
Somalia,66.0
Guinea,63.0
Sierra Leone,63.0
Liberia,62.0
Central African Republic,62.0
Cuba,59.0
South Sudan,59.0
Djibouti,59.0
Malta,59.0
Belize,57.0
Latvia,57.0
Luxembourg,56.0
Gabon,49.0
Togo,48.0
Lesotho,44.0
Uruguay,42.0
Guinea-Bissau,40.0
Benin,39.0
Maldives,36.0
Rwanda,35.0
Viet Nam,35.0
Niger,31.0
Andorra,29.0
Botswana,23.0
Netherlands,22.0
Burkina Faso,19.0
Estonia,18.0
Sao Tome and Principe,13.0
Sri Lanka,12.0
Cyprus,11.0
Singapore,10.0
Comoros,7.0
Papua New Guinea,7.0
France,6.0
Tanzania, United Republic of,5.0
Thailand,5.0
United Kingdom,5.0
New Zealand,4.0
Australia,2.0
Fiji,2.0
Liechtenstein,2.0
Brunei Darussalam,2.0
Iceland,2.0
San Marino,1.0
Western Sahara,1.0
Taiwan, Republic of China,1.0
Canada,1.0
Saint Kitts and Nevis,0.0
Marshall Islands,0.0
Saint Vincent and Grenadines,0.0
Mauritius,0.0
Seychelles,0.0
Solomon Islands,0.0
Macao, SAR China,0.0
Cambodia,0.0
Mongolia,0.0
Bhutan,0.0
Dominica,0.0
Burundi,0.0
Grenada,0.0
Lao PDR,0.0
Eritrea,0.0
Holy See (Vatican City State),0.0
Timor-Leste,0.0
Denmark,0.0
Saint Lucia,0.0
China,0.0
Antigua and Barbuda,0.0
Barbados,0.0
Monaco,-2.0
