pais,quantidade_casos
India,8232760.0
Brazil,5467019.0
Russian Federation,1536167.0
Argentina,1178703.0
Colombia,1086749.0
Spain,1027262.0
Mexico,913931.0
Peru,865527.0
South Africa,721948.0
Iran, Islamic Republic of,534140.0
Italy,526125.0
Chile,495438.0
Iraq,476616.0
Germany,406589.0
Indonesia,405284.0
Ukraine,404161.0
Bangladesh,403321.0
Belgium,398836.0
Poland,382603.0
Philippines,376912.0
Czech Republic,343214.0
Saudi Arabia,325284.0
Pakistan,318146.0
Israel,299690.0
Turkey,259571.0
Romania,238464.0
Morocco,220647.0
Nepal,176443.0
Switzerland,146591.0
Ecuador,144628.0
Bolivia,140700.0
Panama,128383.0
Kuwait,123269.0
United Arab Emirates,122660.0
Portugal,121802.0
Dominican Republic,120619.0
Qatar,119508.0
Oman,113804.0
Costa Rica,110538.0
Kazakhstan,109907.0
Guatemala,107505.0
Sweden,102754.0
Egypt,102388.0
Austria,98564.0
Honduras,97634.0
Ethiopia,96811.0
Venezuela (Bolivarian Republic),92372.0
Armenia,91382.0
Japan,88147.0
Belarus,86373.0
Lebanon,82972.0
Jordan,81290.0
Hungary,80005.0
Bahrain,79093.0
Moldova,72880.0
Uzbekistan,65215.0
Paraguay,63890.0
Libya,62846.0
Nigeria,61104.0
Tunisia,60912.0
Slovakia,60433.0
Kyrgyzstan,59133.0
Kenya,56205.0
Azerbaijan,55236.0
Bulgaria,54990.0
Algeria,54568.0
Myanmar,54456.0
Palestinian Territory,54431.0
Croatia,50584.0
Bosnia and Herzegovina,50512.0
Ghana,46126.0
Ireland,42138.0
Georgia,42040.0
Singapore,41851.0
Serbia,40196.0
Greece,39489.0
Afghanistan,39462.0
Slovenia,34777.0
El Salvador,33620.0
Macedonia, Republic of,31532.0
Malaysia,27337.0
Albania,20750.0
Cameroon,20271.0
Côte d'Ivoire,19478.0
Republic of Kosovo,19380.0
Montenegro,18888.0
Madagascar,16983.0
Zambia,16437.0
Korea (South),16033.0
Luxembourg,15317.0
Lithuania,15171.0
Senegal,14704.0
Norway,13601.0
Sudan,13424.0
Mozambique,13054.0
Namibia,12996.0
Uganda,12888.0
Finland,11405.0
Maldives,11269.0
Angola,11201.0
Tajikistan,11081.0
Congo (Kinshasa),10823.0
Guinea,10718.0
Sri Lanka,10672.0
Haiti,8976.0
Jamaica,8835.0
Cape Verde,8761.0
Gabon,8708.0
Zimbabwe,8349.0
Mauritania,7696.0
Bahamas,6654.0
Botswana,6619.0
Malta,5935.0
Malawi,5896.0
Swaziland,5829.0
Syrian Arab Republic (Syria),5800.0
Trinidad and Tobago,5588.0
Nicaragua,5500.0
Cuba,5469.0
Latvia,5410.0
Suriname,5202.0
Congo (Brazzaville),5070.0
Rwanda,4912.0
Central African Republic,4816.0
Equatorial Guinea,4774.0
Djibouti,4484.0
Guyana,4156.0
Andorra,4143.0
Cyprus,3910.0
Gambia,3661.0
Belize,3606.0
Estonia,3357.0
Somalia,3340.0
Iceland,3134.0
Mali,3083.0
South Sudan,2891.0
Benin,2619.0
Uruguay,2522.0
Togo,2248.0
Sierra Leone,2242.0
Guinea-Bissau,2208.0
Yemen,2057.0
Lesotho,1961.0
Burkina Faso,1872.0
Chad,1426.0
Liberia,1295.0
Netherlands,995.0
Sao Tome and Principe,935.0
Viet Nam,922.0
Thailand,843.0
Papua New Guinea,582.0
Burundi,578.0
Comoros,544.0
Liechtenstein,516.0
Niger,503.0
New Zealand,489.0
Eritrea,441.0
United Kingdom,392.0
San Marino,359.0
Bhutan,349.0
Mongolia,312.0
Monaco,280.0
Australia,219.0
Cambodia,170.0
Barbados,157.0
Seychelles,142.0
Taiwan, Republic of China,134.0
Mauritius,119.0
Antigua and Barbuda,104.0
France,77.0
Saint Lucia,67.0
Saint Vincent and Grenadines,59.0
Dominica,34.0
Tanzania, United Republic of,29.0
Fiji,16.0
Holy See (Vatican City State),16.0
Solomon Islands,13.0
Brunei Darussalam,10.0
Grenada,9.0
Timor-Leste,6.0
Denmark,6.0
Lao PDR,5.0
Saint Kitts and Nevis,4.0
Western Sahara,4.0
Marshall Islands,2.0
Macao, SAR China,0.0
China,-73.0
Canada,-16282.0
